nome;cpf;endereco;bairro;cidade;estado;telefone;email;numero_parcela;contrato;data_vencimento;valor_parcela
Letícia Silveira;61497820502;Via Costela, 53;Vila Nova;Farias;DF;+55 84 8235-7971;noah30@yahoo.com.br;1;1d5377bb-9eb7-4f54-8524-8152c418f67f;20/05/2024;414.93
Larissa Cardoso;71495602370;Passarela de Melo, 189;Bandeirantes;Monteiro da Praia;SP;(061) 1315 6885;castrorenan@viana.com;12;c737fdd5-690e-4d7d-9859-b391e3c714fc;09/05/2024;4985.06
Noah Silveira;91560278340;Colônia de da Mota, 794;Vila Copacabana;das Neves;PA;31 7676-6073;limajoao-pedro@pinto.com;8;ad2fd090-e698-4437-ba20-f868cb8aa28d;23/02/2025;262.5
Giovanna Carvalho;14076352807;Estação Elisa Rocha, 32;Novo São Lucas;Silva;AC;+55 (041) 5409 8625;lara05@da.org;8;e893dd98-7736-4d58-97a2-07d3c23eff8a;29/09/2024;1778.0
Kevin Cardoso;40687352126;Loteamento de Cardoso, 25;Gutierrez;Costa Verde;PB;21 9647 9835;vitor-gabrielteixeira@duarte.br;2;fb9a4b7a-c89b-432c-910e-f7e6ff3ca8c6;26/05/2025;1844.52
Laís Melo;69548203774;Setor Diego da Paz, 368;Vila Da Amizade;Sales de Moreira;AM;(011) 4483 6777;zmoraes@rodrigues.br;12;145a42ee-9d8b-4023-a72b-a0eb250b4a16;17/01/2026;4568.34
Lucas Gabriel das Neves;76029531859;Loteamento de Alves, 398;Caetano Furquim;Lima Verde;SC;+55 84 0880 2625;ian81@uol.com.br;12;394b5674-bbbe-48ad-8a67-d539c1518775;15/04/2025;3389.65
Agatha Carvalho;84526130753;Estação de Martins, 477;Minas Caixa;Pinto;AL;+55 (011) 5057 5062;juliamartins@nunes.com;6;53042913-c4bd-47a1-8940-f0d14b51c54c;14/06/2024;4501.43
João Gabriel Viana;35920714670;Pátio Valentina Nogueira, 85;Havaí;Vieira;TO;51 8003 1515;freitasana-sophia@azevedo.org;5;eb8b8077-f132-4e05-89be-1e22af72d326;22/11/2025;323.81
Srta. Clarice Costa;80149237588;Vale de Pinto, 43;Pirineus;Dias;MA;+55 11 5509-4435;cardosojoaquim@rocha.br;12;cf50c7a7-106a-4c85-8369-47537dee8a9a;05/07/2025;2338.43
Sr. Enrico Costela;73841590241;Conjunto Vitor Gabriel Caldeira, 15;Vila Esplanada;Pereira do Norte;AC;21 3560 6831;glopes@peixoto.br;12;a679c8de-bf96-4ed5-a95e-b1ac59c3a0f9;13/04/2024;534.23
Dra. Bianca Melo;7198562485;Vereda Juliana da Mata, 96;Minas Caixa;Caldeira;AL;61 4976 4624;cgoncalves@bol.com.br;7;facb6bba-ff47-4b5f-adaf-adcd9bdbc218;12/04/2025;2115.63
Maysa Pereira;25437180608;Esplanada de Ramos;Madri;Castro do Campo;SE;(021) 4087-2752;wsouza@gmail.com;8;ccf2db47-05d4-4ff9-9d4a-5846fb919edd;16/08/2025;1337.26
Bruna Oliveira;46179508348;Aeroporto Vieira;Xodo-Marize;Mendes de Minas;MA;(011) 0027-4403;crodrigues@farias.org;3;b9616385-1cc0-482d-9d5b-500f9749885f;22/01/2025;1886.16
Beatriz da Rocha;76832045107;Rodovia Luiz Gustavo Ramos, 1;Baleia;Ramos;PB;31 1849-1878;valentina68@das.com;4;06927fb2-93e5-493d-a8b1-ac02ccf313c7;26/11/2025;3371.04
Rafael Ramos;34652087900;Alameda Guilherme Almeida, 40;São Paulo;Monteiro de Goiás;BA;(061) 4753 4573;maria-luizada-conceicao@barros.com;9;f5e4c29f-29f9-465a-94ab-b735a61aeb68;01/06/2025;1478.95
Bárbara da Luz;15372068426;Viaduto Bruna Viana, 124;Jardim Vitoria;Oliveira do Sul;RR;14 98233 5452;goncalvesraul@ig.com.br;10;1cb97c53-e2e1-4cc4-bdad-784d0131d9a8;07/07/2025;779.66
Luna Barbosa;16395874209;Feira das Neves, 6;Padre Eustáquio;Silveira Alegre;ES;+55 (021) 4599-3514;carlos-eduardo12@uol.com.br;7;f40cf6b5-b546-497c-81bc-5268850b0c55;07/12/2025;2266.55
Carolina Lopes;30261849506;Morro de Correia, 30;Vila Inestan;Barros;RS;81 7744-6628;ksilveira@hotmail.com;9;d6699bce-9c63-4309-b461-cf63414ce8a4;14/05/2024;2893.63
Maria Sophia Ribeiro;24908365105;Vereda de Rocha, 516;Túnel De Ibirité;Lopes de Goiás;AP;(084) 1659 7111;costastephany@bol.com.br;1;d0012ece-1e0e-42f8-a0d5-7ecc59ae01c7;22/10/2025;4469.94
